Size,CPU_seq,CPU_par,GPU_par
16,5.3049999999976726e-05,8.997000000003919e-05,0.0008203799999999539
32,0.00021791999999996037,0.00013109000000000037,0.0008054800000000473
64,0.0009076799999999441,0.0004245699999999797,0.0010109399999999268
128,0.003690369999999987,0.0011847700000001016,0.0015465000000000283
256,0.01441141000000008,0.004464329999999928,0.0031127000000000125
512,0.05940562999999992,0.016940719999999975,0.008243059999999946
1024,0.24050759000000027,0.06568138999999977,0.026951640000000054
2048,0.95845176,0.25884672000000003,0.09684483000000021
4096,3.8145806199999996,1.0647562800000003,0.374717229999996
8192,15.198997600000002,4.151564100000002,1.482641899999993
